country,year,value
,1992,4
,1994,3
,1999,1
,2000,1
,2002,1
,2004,1
,2005,0
,2012,75
Nicaragua,1955,1
,1958,2
,1989,2
,1990,2
,1992,76
,1993,21
,1995,5
Niger,1973,0
Nigeria,1989,2
,1990,3
North Korea,1974,11
,1975,12
,1979,20
,1980,29
,1981,5
,1982,148
,1983,250
,1984,90
,1985,57
,1986,65
,1987,212
,1988,189
,1989,14
,1990,4
,1991,113
,1992,131
,1993,137
,1994,24
,1995,41
,1996,47
,1997,47
,1998,81
,1999,55
,2000,58
,2001,73
,2002,162
,2003,134
,2004,47
,2005,20
,2006,20
,2007,20
,2008,20
,2009,20
,2014,1
North Yemen,1985,3
Norway,1950,1
,1951,30
,1953,8
,1959,8
,1960,38
,1962,25
,1963,55
,1964,67
,1965,65
,1966,80
,1967,140
,1968,65
,1969,53
,1971,8
,1972,31
,1973,10
,1975,8
,1976,8
,1977,8
,1978,93
,1979,161
,1980,158
,1981,278
,1982,68
,1983,35
,1985,42
,1986,29
,1987,54
,1988,34
,1989,124
,1990,82
,1991,167
,1992,75
,1993,51
,1994,64
,1995,21
,1996,4
,1997,19
,1998,3
,1999,5
,2000,3
,2001,42
,2002,83
,2003,84
,2004,56
,2005,6
,2006,17
,2007,61
,2008,114
,2009,147
,2010,159
,2011,156
,2012,158
,2013,122
,2014,127
Oman,1977,5
,1986,5
,1994,0
,2005,1
Pakistan,1967,6
,1971,3
,1980,15
,1981,30
,1982,30
,1989,1
,1990,82
,1991,3
,1994,2
,2000,3
,2001,1
,2002,9
,2003,8
,2004,9
,2005,24
,2006,4
,2008,1
Panama,1979,2
Peru,1982,53
,2001,14
,2004,5
Philippines,1986,1
,2007,4
Poland,1959,28
,1960,5
,1961,5
,1962,12
,1963,111
,1964,237
,1965,234
,1966,319
,1967,309
,1968,288
,1969,323
,1970,268
,1971,274
,1972,272
,1973,158
,1974,232
,1975,299
,1976,406
,1977,382
,1978,317
,1979,229
,1980,207
,1981,346
,1982,211
,1983,115
,1984,90
,1985,130
,1986,274
,1987,222
,1988,232
,1989,20
,1990,105
,1991,55
,1992,56
,1994,131
,1995,176
,1996,46
,1997,21
,1998,1
,1999,64
,2000,45
,2001,81
,2002,56
,2003,81
,2004,47
,2005,18
,2006,282
,2007,163
,2008,73
,2009,75
,2010,28
,2011,8
,2012,13
,2013,142
,2014,27
Portugal,1967,2
,1971,3
,1973,4
,1974,11
,1975,101
,1976,21
,1978,7
,1979,2
,1980,1
,1983,1
,1986,1
,1987,1
,1989,71
,1993,1
,2008,99
,2009,46
,2011,0
,2012,0
,2014,18
Qatar,1993,40
,1999,9
,2006,6
Romania,1971,6
,1972,9
,1973,9
,1974,1
,1978,27
,1979,44
,1980,48
,1981,30
,1982,91
,1983,101
,1984,173
,1985,99
,1986,28
,1987,35
,1988,52
,1989,25
,1990,7
,1991,5
,1992,14
,1993,16
,1994,29
,1995,9
,1996,4
,1997,11
,1998,2
,1999,19
,2000,3
,2003,24
,2005,3
,2006,8
,2007,32
,2009,2
,2010,1
,2011,0
,2012,108
,2013,108
,2014,2
Russia,1992,2613
,1993,3442
,1994,1521
,1995,3900
,1996,3539
,1997,3353
,1998,2046
,1999,4264
,2000,4546
,2001,5427
,2002,5635
,2003,5307
,2004,6250
,2005,5227
,2006,5113
,2007,5561
,2008,6264
,2009,5102
,2010,5993
,2011,8556
,2012,8402
,2013,8462
,2014,5971
Saudi Arabia,1955,0
,1967,4
,1968,3
,1972,2
,1976,1
,1977,13
,1981,33
,1984,3
,1985,9
,1993,14
,1996,1
,2006,18
,2010,1
,2011,62
Senegal,1976,3
Serbia,1996,20
,1997,5
,2001,11
,2006,5
,2007,5
,2008,45
,2009,1
,2010,31
,2011,4
,2012,11
,2013,29
,2014,29
Seychelles,1995,1
Singapore,1971,2
,1975,17
,1978,30
,1979,72
,1981,15
,1983,25
,1984,93
,1987,81
,1988,25
,1989,87
,1990,44
,1991,3
,1992,3
,1993,11
,1994,30
,1996,0
,1997,46
,1998,23
,1999,11
,2000,11
,2002,4
,2004,66
,2005,3
,2009,31
,2010,24
,2011,13
,2012,76
,2013,1
,2014,2
Slovakia,1993,173
,1994,35
,1995,97
,1996,60
,1997,55
,1998,10
,1999,125
,2000,37
,2001,53
,2002,31
,2004,46
,2006,7
,2007,22
,2008,8
,2012,4
South Africa,1959,8
,1960,27
,1961,33
,1967,4
,1968,6
,1970,3
,1971,5
,1972,12
,1973,1
,1974,2
,1975,18
,1976,16
,1977,0
,1980,39
,1981,39
,1982,1
,1985,50
,1986,50
,1987,53
,1988,50
,1989,0
,1991,54
,1992,75
,1993,54
,1994,11
,1995,17
,1996,31
,1997,7
,1998,24
,1999,27
,2000,20
,2001,37
,2002,17
,2003,43
,2004,72
,2005,30
,2006,184
,2007,126
,2008,139
,2009,103
,2010,235
,2011,71
,2012,181
,2013,95
,2014,59
South Korea,1972,141
,1979,105
,1980,105
,1981,130
,1982,65
,1984,126
,1985,33
,1986,78
,1988,51
,1989,48
,1990,72
,1991,118
,1993,60
,1994,7
,1995,27
,1996,64
,1997,60
,1998,72
,2000,10
,2001,228
,2003,96
,2004,73
,2005,108
,2006,158
,2007,279
,2008,178
,2009,269
,2010,197
,2011,331
,2012,218
,2013,235
,2014,153
South Vietnam,1970,4
South Yemen,1975,6
,1986,51
Soviet Union,1950,3884
,1951,3743
,1952,6295
,1953,8297
,1954,8909
,1955,5945
,1956,6495
,1957,6607
,1958,8232
,1959,8054
,1960,6507
,1961,6218
,1962,7994
,1963,7253
,1964,9068
,1965,8727
,1966,10405
,1967,11491
,1968,11037
,1969,10303
,1970,10694
,1971,11564
,1972,13427
,1973,14608
,1974,14541
,1975,11207
,1976,9485
,1977,15277
,1978,17871
,1979,17044
,1980,17778
,1981,16526
,1982,16076
,1983,14520
,1984,13909
,1985,14786
,1986,14665
,1987,13624
,1988,12752
,1989,12262
,1990,9734
,1991,5646
Spain,1960,2
,1961,8
,1962,10
,1963,10
,1964,12
,1965,26
,1966,26
,1967,12
,1968,12
,1969,10
,1970,70
,1971,140
,1972,4
,1973,4
,1974,84
,1975,267
,1976,46
,1977,25
,1978,38
,1979,18
,1980,10
,1981,130
,1982,251
,1983,357
,1984,252
,1985,85
,1986,177
,1987,148
,1988,141
,1989,174
,1990,108
,1991,100
,1992,65
,1993,98
,1994,237
,1995,82
,1996,105
,1997,625
,1998,170
,1999,43
,2000,46
,2001,8
,2002,16
,2003,95
,2004,52
,2005,108
,2006,840
,2007,601
,2008,602
,2009,961
,2010,277
,2011,1437
,2012,546
,2013,733
,2014,1110
Sri Lanka,1998,8
Sudan,1967,1
,1986,4
,2013,11
Sweden,1950,27
,1951,46
,1952,64
,1953,165
,1954,21
,1955,105
,1956,96
,1957,111
,1958,280
,1959,15
,1960,38
,1961,35
,1962,35
,1963,23
,1964,31
,1965,32
,1966,56
,1967,55
,1968,60
,1969,36
,1970,262
,1971,550
,1972,138
,1973,15
,1974,75
,1975,121
,1976,71
,1977,53
,1978,55
,1979,263
,1980,165
,1981,138
,1982,130
,1983,114
,1984,229
,1985,211
,1986,341
,1987,263
,1988,521
,1989,412
,1990,243
,1991,177
,1992,168
,1993,114
,1994,122
,1995,197
,1996,352
,1997,107
,1998,340
,1999,392
,2000,375
,2001,914
,2002,171
,2003,526
,2004,303
,2005,537
,2006,397
,2007,342
,2008,457
,2009,419
,2010,664
,2011,705
,2012,488
,2013,407
,2014,394
Switzerland,1959,50
,1960,442
,1961,500
,1962,530
,1963,329
,1964,371
,1965,484
,1966,359
,1967,253
,1968,87
,1969,104
,1970,18
,1971,37
,1972,29
,1973,19
,1974,37
,1975,307
,1976,335
,1977,279
,1978,231
,1979,434
,1980,610
,1981,639
,1982,499
,1983,380
,1984,509
,1985,353
,1986,319
,1987,308
,1988,318
,1989,261
,1990,404
,1991,432
,1992,396
,1993,184
,1994,133
,1995,139
,1996,186
,1997,118
,1998,210
,1999,273
,2000,174
,2001,206
,2002,157
,2003,181
,2004,249
,2005,247
,2006,286
,2007,295
,2008,461
,2009,227
,2010,238
,2011,310
,2012,250
,2013,193
,2014,350
Syria,1970,14
,1974,2
,1975,2
,1977,0
,1982,178
,1983,46
,1984,2
,1985,29
,1986,31
,1988,15
,1992,40
,1993,40
,1996,0
,1997,0
,2006,3
,2009,20
,2010,20
Taiwan (ROC),1967,12
,1972,154
,1979,1
,1989,42
,1990,6
,1996,4
,1997,5
,2001,6
,2002,0
,2009,16
,2012,2
Thailand,2003,7
,2004,7
,2006,93
Turkey,1956,0
,1980,23
,1981,11
,1995,3
,1996,3
,1997,0
,1998,3
,1999,43
,2000,19
,2001,5
,2002,26
,2003,42
,2004,28
,2005,14
,2006,73
,2007,42
,2008,97
,2009,63
,2010,72
,2011,86
,2012,143
,2013,146
,2014,274
UAE,1974,8
,1983,14
,1987,1
,1990,2
,1995,28
,1996,6
,1997,32
,2004,3
,2005,11
,2006,17
,2007,3
,2008,1
,2009,34
,2010,39
,2011,3
,2013,43
,2014,2
Uganda,1968,0
Ukraine,1992,165
,1993,82
,1994,236
,1995,167
,1996,260
,1997,558
,1998,708
,1999,731
,2000,270
,2001,511
,2002,307
,2003,295
,2004,198
,2005,291
,2006,542
,2007,623
,2008,378
,2009,377
,2010,470
,2011,534
,2012,1450
,2013,708
,2014,664
United Kingdom,1950,2300
,1951,3218
,1952,3249
,1953,4614
,1954,5150
,1955,4770
,1956,6069
,1957,4813
,1958,3965
,1959,3417
,1960,2145
,1961,1173
,1962,1299
,1963,1132
,1964,1417
,1965,1471
,1966,1339
,1967,1939
,1968,1504
,1969,1763
,1970,868
,1971,2149
,1972,2494
,1973,2741
,1974,2340
,1975,2316
,1976,2446
,1977,2304
,1978,2138
,1979,1481
,1980,1687
,1981,2403
,1982,2565
,1983,2556
,1984,2565
,1985,2203
,1986,2037
,1987,3583
,1988,2538
,1989,3520
,1990,1877
,1991,1526
,1992,1195
,1993,1453
,1994,1560
,1995,1493
,1996,1677
,1997,2418
,1998,1428
,1999,1380
,2000,1638
,2001,1392
,2002,1102
,2003,752
,2004,1221
,2005,1069
,2006,995
,2007,984
,2008,990
,2009,1021
,2010,1101
,2011,1010
,2012,930
,2013,1484
,2014,1704
United Nations**,1964,0
United States,1950,1713
,1951,4703
,1952,6387
,1953,8859
,1954,6028
,1955,6591
,1956,8446
,1957,8564
,1958,9693
,1959,7338
,1960,5961
,1961,6376
,1962,5725
,1963,9029
,1964,12077
,1965,11054
,1966,8349
,1967,7165
,1968,8101
,1969,11334
,1970,8634
,1971,11478
,1972,10585
,1973,11839
,1974,12074
,1975,15708
,1976,15440
,1977,14537
,1978,14186
,1979,9764
,1980,10697
,1981,13451
,1982,13960
,1983,13834
,1984,11796
,1985,10689
,1986,11548
,1987,12243
,1988,11801
,1989,11342
,1990,10762
,1991,12540
,1992,14107
,1993,13836
,1994,11461
,1995,11146
,1996,10808
,1997,14518
,1998,15708
,1999,11553
,2000,7591
,2001,5682
,2002,4955
,2003,5618
,2004,6752
,2005,6758
,2006,7521
,2007,7834
,2008,6814
,2009,6822
,2010,8169
,2011,9111
,2012,9018
,2013,7384
,2014,10194
Unknown country,1950,23
,1951,12
,1955,2
,1956,17
,1957,17
,1958,17
,1959,17
,1960,17
,1961,19
,1962,5
,1963,1
,1964,1
,1965,2
,1966,4
,1967,14
,1968,0
,1969,0
,1971,4
,1972,15
,1973,4
,1974,7
,1975,15
,1976,7
,1977,1
,1978,12
,1979,31
,1980,30
,1981,38
,1982,21
,1983,9
,1984,2
,1985,7
,1986,87
,1987,2
,1988,14
,1989,10
,1990,10
